typ,gdzie,lg_attach,numerzdj,Nazwa ob,adres,Opis,sciezkazdj,icon_url
miejsce odpoczynku,radunin,[],,,"-",Miejsce do siedzenia wraz ze stołem,,./0.png
tablica informacyjna,radunin,[],"1",,"-",Kliknij po więcej informacji,"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\1.jpg""",./1.png
atrakcja,wyżary,[],"2",,"-",Zbiornik wodny Wyżary - Kliknij żeby zobaczyć zdjęcie,"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\2.jpg""",./2.png
miejsce odpoczynku,,[],,,"-",Miejsce do siedzenia wraz ze stołem i miejscem na ognisko,,./0.png
tablica informacyjna,chomontowszczyzna,[],"4",,"-",Kliknij po więcej informacji,"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\4.jpg""",./1.png
atrakcja,kładka,[],"3",,"-",Kładka przez mokradła (Kliknij żeby zobaczyć zdjęcie),"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\3.jpg""",./2.png
tablica informacyjna,,[],"5",,"-",Kliknij po więcej informacji,"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\5.jpg""",./1.png
miejsce odpoczynku,,[],nie,,"-",Miejsce do siedzenia wraz ze stołem,,./0.png
historyczne,Popówka,[],"6",,"-",Miejsce pamięci po mieszkańcach spacyfikowanej wsi Popówka (Kliknij żeby zobaczyć zdjęcie),"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\6.jpg""",./3.png
tablica informacyjna,Królowy most,[],"7",,"-",Kliknij po więcej informacji,"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\7.jpg""",./1.png
historyczne,Królowy most,[],"8",,"-",Powstańcza mogiła (Kliknij żeby zobaczyć zdjęcie),"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\8.jpg""",./3.png
tablica informacyjna,,[],"9",,"-",Kliknij po więcej informacji,"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\9.jpg""",./1.png
atrakcja,wieża widokowa,[],"10",,"-",Wieża widokowa z panoramą puszczy knyszyńskiej i doliną rzeki Supraśl (Kliknij żeby zobaczyć zdjęcie),"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\10.jpg""",./2.png
miejsce odpoczynku,,[],,,"-",Miejsce do siedzenia wraz ze stołem,,./0.png
tablica informacyjna,,[],"11",,"-",Kliknij po więcej informacji,"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\11.jpg""",./1.png
miejsce odpoczynku,borki,[],,,"-",Miejsce do siedzenia wraz ze stołem,,./0.png
tablica informacyjna,surażkowo,[],"12",,"-",Kliknij po więcej informacji,"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\12.jpg""",./1.png
miejsce odpoczynku,surażkowo,[],,,"-",Miejsce do siedzenia wraz ze stołem,,./0.png
historyczne,miejsce stracen,[],,,"-","Miejsce straceń. Leśna galeria rzeźby ""Co pamięta stary dąb""",,./3.png
historyczne,kopna góra,[],"13",,"-",Cmentarz powstańców styczniowych. (Kliknij żeby zobaczyć zdjęcie),"""C:\Users\Grzesiek\Desktop\inzynierka\zdjecia\13.jpg""",./3.png
atrakcja,arboretum,[],,,"-",Arboretum im. Powstańców,,./2.png
miejsce odpoczynku,kopną góra,[],,,"-",Miejsce do siedzenia wraz ze stołem,,./0.png
