X,Y,fid,gml_id,lokalnyId,przestrzenNazw,wersjaId,czyObiektBDOO,x_kod,x_skrKarto,x_katDoklGeom,x_doklGeom,x_doklGeom_uom,x_zrodloDanychG,x_zrodloDanychA,x_katIstnienia,x_rodzajReprGeom,x_aktualnoscG,x_aktualnoscA,poczatekWersjiObiektu,x_dataUtworzenia,x_kodKarto10k,x_kodKarto25k,x_kodKarto50k,x_kodKarto100k,x_kodKarto250k,x_kodKarto500k,x_kodKarto1000k,nazwa,idPRNG,idTerytGmi,idTerytMiejsc,liczbaMieszkancow,rodzaj,siedzibaUrzeduGminy,EMUiA|BT_ReferencjaDoObiektu|idIIP|BT_Identyfikator|lokalnyId,EMUiA|BT_ReferencjaDoObiektu|idIIP|BT_Identyfikator|przestrzenNazw,PRNG|BT_ReferencjaDoObiektu|idIIP|BT_Identyfikator|lokalnyId,PRNG|BT_ReferencjaDoObiektu|idIIP|BT_Identyfikator|przestrzenNazw,x_informDodatkowa,x_uwagi,layer,path,lmiesz,icon_url
23.5942336349765,53.3928477873198,"1",ID_2318,2ED380A7-CAE9-5AC4-E053-CA2BA8C0AB34,PL.PZGiK.335.BDOT10k,2021-09-13T00:00:00,fałsz,ADMS03,,Dok,"1",m,Ort,PRNG,,PU,2012-10-15,2019-10-10,2021-09-13T00:00:00,2012-11-15,,,,,,,,Bohoniki,"7843","2011083","40011","83",Ws,fałsz,"40011",PL.ZIPIN.1750,"7843",PL.PZGiK.204.PRNG,,,miasta1,C:/Users/Grzesiek/Desktop/inzynierka/materiały qgis/miasta1.gpkg|layername=miasta1,"83",./0.png
23.6080716792025,53.4235159710605,"2",ID_2321,2ED380A7-CAEA-5AC4-E053-CA2BA8C0AB34,PL.PZGiK.335.BDOT10k,2021-09-13T00:00:00,fałsz,ADMS03,,Dok,"1",m,Ort,PRNG,,PU,2012-10-15,2019-10-10,2021-09-13T00:00:00,2012-11-15,,,,,,,,Puciłki,"112903","2011083","40519","93",Ws,fałsz,"40519",PL.ZIPIN.1750,"112903",PL.PZGiK.204.PRNG,,,miasta1,C:/Users/Grzesiek/Desktop/inzynierka/materiały qgis/miasta1.gpkg|layername=miasta1,"93",./0.png
23.6213756847263,53.4046244723579,"3",ID_2324,2ED380A7-CAEB-5AC4-E053-CA2BA8C0AB34,PL.PZGiK.335.BDOT10k,2021-09-13T00:00:00,fałsz,ADMS03,,Dok,"1",m,Ort,PRNG,,PU,2012-10-15,2019-10-10,2021-09-13T00:00:00,2012-11-15,,,,,,,,Malawicze Górne,"75952","2011083","40360","52",Ws,fałsz,"40360",PL.ZIPIN.1750,"75952",PL.PZGiK.204.PRNG,,,miasta1,C:/Users/Grzesiek/Desktop/inzynierka/materiały qgis/miasta1.gpkg|layername=miasta1,"52",./0.png
23.5793083346213,53.4239415541709,"4",ID_2327,2ED380A7-CAEC-5AC4-E053-CA2BA8C0AB34,PL.PZGiK.335.BDOT10k,2021-09-13T00:00:00,fałsz,ADMS03,,Dok,"1",m,Ort,PRNG,,PU,2012-10-15,2019-10-10,2021-09-13T00:00:00,2012-11-15,,,,,,,,Orłowicze,"93614","2011083","40420","120",Ws,fałsz,"40420",PL.ZIPIN.1750,"93614",PL.PZGiK.204.PRNG,,,miasta1,C:/Users/Grzesiek/Desktop/inzynierka/materiały qgis/miasta1.gpkg|layername=miasta1,,./0.png
23.7295851449049,53.3195625791925,"9",ID_2408,2ED380A7-CB33-5AC4-E053-CA2BA8C0AB34,PL.PZGiK.335.BDOT10k,2021-09-13T00:00:00,fałsz,ADMS03,,Dok,"1",m,Ort,PRNG,,PU,2012-10-15,2019-10-10,2021-09-13T00:00:00,2012-11-15,,,,,,,,Harkawicze,"40842","2011102","41973","24",Ws,fałsz,"41973",PL.ZIPIN.3147,"40842",PL.PZGiK.204.PRNG,,,miasta1,C:/Users/Grzesiek/Desktop/inzynierka/materiały qgis/miasta1.gpkg|layername=miasta1,"24",./0.png
23.5043937829269,53.2960157629965,"11",ID_2183,2ED380A7-CC59-5AC4-E053-CA2BA8C0AB34,PL.PZGiK.335.BDOT10k,2021-09-13T00:00:00,fałsz,ADMS03,,Dok,"1",m,Ort,PRNG,,PU,2012-10-15,2019-10-10,2021-09-13T00:00:00,2012-11-15,,,,,,,,Łaźnisko,"72003","2011102","42056","56",Ws,fałsz,"42056",PL.ZIPIN.3147,"72003",PL.PZGiK.204.PRNG,,,miasta1,C:/Users/Grzesiek/Desktop/inzynierka/materiały qgis/miasta1.gpkg|layername=miasta1,"56",./0.png
23.7324865575,53.296925126003,"13",ID_2114,2ED380A7-CC05-5AC4-E053-CA2BA8C0AB34,PL.PZGiK.335.BDOT10k,2021-09-13T00:00:00,fałsz,ADMS03,,Dok,"1",m,Ort,PRNG,,PU,2012-10-15,2019-10-10,2021-09-13T00:00:00,2012-11-15,,,,,,,,Pierożki,"100691","2011102","42180","42",Ws,fałsz,"42180",PL.ZIPIN.3147,"100691",PL.PZGiK.204.PRNG,,,miasta1,C:/Users/Grzesiek/Desktop/inzynierka/materiały qgis/miasta1.gpkg|layername=miasta1,"42",./0.png
23.7049975719805,53.375100514044,"14",ID_2291,2ED380A7-CACA-5AC4-E053-CA2BA8C0AB34,PL.PZGiK.335.BDOT10k,2021-09-13T00:00:00,fałsz,ADMS03,,Dok,"1",m,Ort,PRNG,,PU,2012-10-15,2019-10-10,2021-09-13T00:00:00,2012-11-15,,,,,,,,Miszkieniki Wielkie,"81134","2011102","42100","77",Ws,fałsz,"42100",PL.ZIPIN.3147,"81134",PL.PZGiK.204.PRNG,,,miasta1,C:/Users/Grzesiek/Desktop/inzynierka/materiały qgis/miasta1.gpkg|layername=miasta1,"77",./0.png
23.7142046767717,53.3878027524491,"15",ID_2294,2ED380A7-CACB-5AC4-E053-CA2BA8C0AB34,PL.PZGiK.335.BDOT10k,2021-09-13T00:00:00,fałsz,ADMS03,,Dok,"1",m,Ort,PRNG,,PU,2012-10-15,2019-10-10,2021-09-13T00:00:00,2012-11-15,,,,,,,,Zubrzyca Wielka,"162409","2011102","42441","60",Ws,fałsz,"42441",PL.ZIPIN.3147,"162409",PL.PZGiK.204.PRNG,,,miasta1,C:/Users/Grzesiek/Desktop/inzynierka/materiały qgis/miasta1.gpkg|layername=miasta1,"60",./0.png
23.7285234458128,53.3788424594706,"16",ID_2297,2ED380A7-CACC-5AC4-E053-CA2BA8C0AB34,PL.PZGiK.335.BDOT10k,2021-09-13T00:00:00,fałsz,ADMS03,,Dok,"1",m,Ort,PRNG,,PU,2012-10-15,2019-10-10,2021-09-13T00:00:00,2012-11-15,,,,,,,,Zubrzyca Mała,"162408","2011102","42429","57",Ws,fałsz,"42429",PL.ZIPIN.3147,"162408",PL.PZGiK.204.PRNG,,,miasta1,C:/Users/Grzesiek/Desktop/inzynierka/materiały qgis/miasta1.gpkg|layername=miasta1,"57",./0.png
